family,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17,order_18,order_19,order_20,order_21,order_22,order_23,order_24,order_25,order_26,order_27,order_28,order_29,order_30,order_31,order_32,order_33,order_34,order_35,order_36,order_37,order_38,order_39,order_40,order_41,order_42,order_43,order_44,order_45,order_46
3,18,380,116,377,232,238,281,262,196,162,108,107,254,250,88,72,25,127,335,300,404,364,160,23,197,220,65,35,185,291,19,239,29,176,119,261,228,33,181,50,,,,,,
3,198,188,32,110,276,267,28,66,86,229,323,189,310,349,217,256,339,311,405,159,200,236,16,354,328,334,60,372,151,177,71,136,260,187,140,241,305,61,53,330,141,148,243,347,371,307
3,2,105,175,336,96,5,268,3,9,289,353,304,378,7,363,234,131,341,132,163,99,55,312,48,246,85,172,227,277,218,221,284,133,40,202,171,390,219,45,173,209,400,257,,,
3,395,298,64,350,125,309,295,319,191,358,301,24,402,161,365,155,315,206,382,6,308,195,153,156,199,340,183,279,147,37,264,39,389,263,178,351,164,179,13,373,,,,,,
2,297,91,44,54,211,56,248,169,111,331,374,245,190,100,360,391,303,70,58,207,379,106,87,249,34,77,201,316,375,,,,,,,,,,,,,,,,,
3,182,327,124,401,93,345,97,76,103,357,49,8,387,233,126,150,359,138,115,59,123,383,255,212,101,231,27,361,186,168,393,285,286,302,369,149,137,294,26,325,,,,,,
3,118,299,266,167,142,292,287,92,381,293,4,252,68,224,397,251,146,235,258,240,192,102,399,31,367,223,154,104,170,120,62,121,237,,,,,,,,,,,,,
3,194,317,41,165,355,204,11,94,12,271,352,75,30,342,74,343,69,225,321,81,216,22,144,38,242,230,1,90,313,79,67,203,394,362,47,46,338,253,112,346,95,296,80,306,,
3,407,174,406,166,193,344,356,329,98,265,20,282,333,283,114,14,214,135,83,205,213,288,139,180,314,184,82,272,274,42,109,73,247,208,158,278,398,275,57,,,,,,,
3,226,320,290,332,259,348,384,269,318,36,15,337,210,152,134,322,63,113,157,117,,,,,,,,,,,,,,,,,,,,,,,,,,
3,368,222,244,403,128,78,370,366,10,129,51,52,143,280,324,386,17,396,145,43,388,21,376,270,130,273,392,385,89,84,215,326,122,,,,,,,,,,,,,
