family,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17,order_18,order_19,order_20,order_21,order_22,order_23,order_24,order_25,order_26,order_27,order_28,order_29,order_30,order_31,order_32,order_33,order_34,order_35,order_36,order_37,order_38,order_39,order_40,order_41,order_42,order_43,order_44,order_45,order_46,order_47,order_48,order_49,order_50
3,332,482,260,437,229,22,310,319,14,256,354,205,265,189,132,267,197,126,432,66,269,483,276,7,203,361,220,129,461,226,397,357,149,290,393,200,342,423,449,396,48,73,,,,,,,,
3,91,232,57,238,262,223,15,72,88,37,144,54,287,409,152,331,111,374,442,25,34,294,71,221,340,158,466,33,181,447,450,416,285,463,479,298,67,302,314,100,347,,,,,,,,,
3,478,278,264,472,271,12,281,286,137,443,246,166,19,402,199,217,333,283,358,453,362,430,52,51,236,280,274,55,185,370,130,228,89,53,148,141,134,,,,,,,,,,,,,
3,355,16,92,441,309,24,458,400,394,295,420,474,284,315,248,206,244,338,282,123,212,383,101,434,467,481,68,252,349,330,29,495,202,171,138,390,386,360,,,,,,,,,,,,
3,40,28,140,142,131,188,41,161,376,155,377,239,196,193,58,489,156,254,211,381,177,11,180,372,408,184,145,43,388,301,153,103,227,207,277,398,417,9,371,237,13,373,26,337,56,124,168,84,378,304
3,2,18,81,136,345,172,335,114,224,5,288,3,350,380,415,385,63,272,266,213,146,59,139,451,178,38,230,70,208,10,250,50,270,359,413,35,120,235,93,215,326,435,268,157,117,,,,,
3,259,440,194,4,486,391,401,174,492,422,78,167,102,473,311,369,405,234,341,429,160,480,143,96,465,173,462,209,47,348,491,475,,,,,,,,,,,,,,,,,,
3,108,162,175,45,292,247,366,352,225,321,69,133,195,334,493,99,406,104,448,49,46,240,192,351,179,308,324,468,176,436,419,241,439,39,365,421,452,255,,,,,,,,,,,,
3,433,243,471,169,210,245,273,154,444,42,191,107,74,110,23,65,490,90,105,30,121,353,404,242,307,428,496,425,147,201,,,,,,,,,,,,,,,,,,,,
3,182,460,327,233,159,329,363,128,163,325,312,344,8,186,431,387,407,258,164,86,457,418,60,305,343,275,76,219,170,339,216,470,80,,,,,,,,,,,,,,,,,
3,395,127,116,297,251,300,218,410,150,427,85,426,303,411,364,187,257,190,459,98,323,399,151,367,31,313,119,261,488,477,20,122,476,109,,,,,,,,,,,,,,,,
3,118,299,317,165,456,368,222,293,446,44,64,289,1,455,487,183,263,125,346,379,17,106,87,249,75,77,36,27,,,,,,,,,,,,,,,,,,,,,,
2,414,454,412,115,94,204,389,403,6,382,61,82,318,214,424,484,62,83,279,494,306,291,375,316,,,,,,,,,,,,,,,,,,,,,,,,,,
3,198,356,320,97,328,21,445,464,231,95,384,438,296,32,469,392,322,135,253,113,485,336,112,79,,,,,,,,,,,,,,,,,,,,,,,,,,
